dao_file	dao_class	table	pk	note
src\dao\ActionLogDao.java	ActionLogDao	TB_ACTION_LOG	id	
src\dao\AgreementLogDao.java	AgreementLogDao	TB_AGREEMENT_LOG	id	
src\dao\ApiLogDao.java	ApiLogDao	TB_API_LOG		PK 미발견(또는 DataObject 기본값 사용)
src\dao\Auth2LogDao.java	Auth2LogDao	TB_AUTH2_LOG		PK 미발견(또는 DataObject 기본값 사용)
src\dao\BannerDao.java	BannerDao	TB_BANNER		PK 미발견(또는 DataObject 기본값 사용)
src\dao\BizSMS.java	BizSMS	TB_UDS_LOG	cmid	
src\dao\BoardDao.java	BoardDao	TB_BOARD		PK 미발견(또는 DataObject 기본값 사용)
src\dao\BookDao.java	BookDao	LM_BOOK	id	
src\dao\BookMainDao.java	BookMainDao	LM_BOOK_MAIN	site_id,type,book_id	
src\dao\BookPackageDao.java	BookPackageDao	LM_BOOK_PACKAGE	package_id,book_id	
src\dao\BookRelateDao.java	BookRelateDao	LM_BOOK_RELATE	book_id,relate_id	
src\dao\BookTargetDao.java	BookTargetDao	LM_BOOK_TARGET	book_id,group_id	
src\dao\BookUserDao.java	BookUserDao	LM_BOOK_USER		PK 미발견(또는 DataObject 기본값 사용)
src\dao\CategoryDao.java	CategoryDao	TB_CATEGORY	id	
src\dao\CertificateTemplateDao.java	CertificateTemplateDao	TB_CERTIFICATE_TEMPLATE	id	
src\dao\ClBoardDao.java	ClBoardDao	CL_BOARD		PK 미발견(또는 DataObject 기본값 사용)
src\dao\ClCommentDao.java	ClCommentDao	CL_COMMENT		PK 미발견(또는 DataObject 기본값 사용)
src\dao\ClFileDao.java	ClFileDao	CL_FILE		PK 미발견(또는 DataObject 기본값 사용)
src\dao\ClPostDao.java	ClPostDao	CL_POST	id	
src\dao\CodeDao.java	CodeDao	TB_CODE		PK 미발견(또는 DataObject 기본값 사용)
src\dao\CommentDao.java	CommentDao	TB_COMMENT		PK 미발견(또는 DataObject 기본값 사용)
src\dao\ContentDao.java	ContentDao	LM_CONTENT		PK 미발견(또는 DataObject 기본값 사용)
src\dao\ContentLessonDao.java	ContentLessonDao	LM_CONTENT_LESSON	CONTENT_ID, CHPATER	
src\dao\CouponDao.java	CouponDao	TB_COUPON		PK 미발견(또는 DataObject 기본값 사용)
src\dao\CouponUserDao.java	CouponUserDao	TB_COUPON_USER		PK 미발견(또는 DataObject 기본값 사용)
src\dao\CourseAutoDao.java	CourseAutoDao	LM_COURSE_AUTO	course_id,auto_id,site_id	
src\dao\CourseBookDao.java	CourseBookDao	LM_COURSE_BOOK	course_id,book_id	
