jsp	line	body	candidate_sysop_html	candidate_front_html	exists_sysop	exists_front
public_html\ai\index.jsp	72	ai.index	public_html\\sysop\\html\\ai\\index.html	public_html\\html\\ai\\index.html	False	True
public_html\board\write.jsp	147	board.write	public_html\\sysop\\html\\board\\write.html	public_html\\html\\board\\write.html	True	True
public_html\board\read.jsp	162	board.read	public_html\\sysop\\html\\board\\read.html	public_html\\html\\board\\read.html	True	True
public_html\board\modify.jsp	97	board.write	public_html\\sysop\\html\\board\\write.html	public_html\\html\\board\\write.html	True	True
public_html\course\review_view.jsp	73	course.review_view	public_html\\sysop\\html\\course\\review_view.html	public_html\\html\\course\\review_view.html	False	True
public_html\course\review_modify.jsp	65	course.review_insert	public_html\\sysop\\html\\course\\review_insert.html	public_html\\html\\course\\review_insert.html	False	True
public_html\inc\tutor_list.jsp	30	inc.tutor_list	public_html\\sysop\\html\\inc\\tutor_list.html	public_html\\html\\inc\\tutor_list.html	False	True
public_html\board\file_upload.jsp	77	board.file_upload	public_html\\sysop\\html\\board\\file_upload.html	public_html\\html\\board\\file_upload.html	True	True
public_html\course\review_list.jsp	48	course.review_list	public_html\\sysop\\html\\course\\review_list.html	public_html\\html\\course\\review_list.html	False	True
public_html\course\cpost.jsp	41	course.cpost	public_html\\sysop\\html\\course\\cpost.html	public_html\\html\\course\\cpost.html	False	True
public_html\board\file_movie.jsp	54	board.file_movie	public_html\\sysop\\html\\board\\file_movie.html	public_html\\html\\board\\file_movie.html	True	True
public_html\inc\top_v5.jsp	189	layout.top_v5	public_html\\sysop\\html\\layout\\top_v5.html	public_html\\html\\layout\\top_v5.html	False	True
public_html\course\review_insert.jsp	82	course.review_insert	public_html\\sysop\\html\\course\\review_insert.html	public_html\\html\\course\\review_insert.html	False	True
public_html\course\course_view.jsp	301	course.package_view	public_html\\sysop\\html\\course\\package_view.html	public_html\\html\\course\\package_view.html	False	True
public_html\course\course_view.jsp	302	course.course_view	public_html\\sysop\\html\\course\\course_view.html	public_html\\html\\course\\course_view.html	False	True
public_html\course\course_view.jsp	303	course.course_view	public_html\\sysop\\html\\course\\course_view.html	public_html\\html\\course\\course_view.html	False	True
public_html\board\file_image.jsp	72	board.file_image	public_html\\sysop\\html\\board\\file_image.html	public_html\\html\\board\\file_image.html	True	True
public_html\inc\review_list.jsp	38	inc.review_list	public_html\\sysop\\html\\inc\\review_list.html	public_html\\html\\inc\\review_list.html	False	True
public_html\course\pop_book_info.jsp	14	course.pop_book_info	public_html\\sysop\\html\\course\\pop_book_info.html	public_html\\html\\course\\pop_book_info.html	False	True
public_html\board\comment.jsp	139	board.comment	public_html\\sysop\\html\\board\\comment.html	public_html\\html\\board\\comment.html	True	True
public_html\course\course_list.jsp	296	course.course_list	public_html\\sysop\\html\\course\\course_list.html	public_html\\html\\course\\course_list.html	True	True
public_html\inc\left.jsp	27	layout.left	public_html\\sysop\\html\\layout\\left.html	public_html\\html\\layout\\left.html	False	True
public_html\course\freepass_view.jsp	40	course.freepass_view	public_html\\sysop\\html\\course\\freepass_view.html	public_html\\html\\course\\freepass_view.html	False	True
public_html\course\course_calendar.jsp	93	course.course_calendar	public_html\\sysop\\html\\course\\course_calendar.html	public_html\\html\\course\\course_calendar.html	False	True
public_html\course\calendar.jsp	150	course.calendar	public_html\\sysop\\html\\course\\calendar.html	public_html\\html\\course\\calendar.html	False	True
public_html\course\freepass_list.jsp	70	course.freepass_list	public_html\\sysop\\html\\course\\freepass_list.html	public_html\\html\\course\\freepass_list.html	False	True
public_html\inc\gnb.jsp	20	inc.gnb	public_html\\sysop\\html\\inc\\gnb.html	public_html\\html\\inc\\gnb.html	False	True
public_html\course\cpost_view.jsp	54	course.cpost_view	public_html\\sysop\\html\\course\\cpost_view.html	public_html\\html\\course\\cpost_view.html	False	True
public_html\inc\footer.jsp	7	layout.footer	public_html\\sysop\\html\\layout\\footer.html	public_html\\html\\layout\\footer.html	False	True
public_html\board\attach.jsp	114	board.attach	public_html\\sysop\\html\\board\\attach.html	public_html\\html\\board\\attach.html	True	True
public_html\inc\course_month_list.jsp	71	inc.course_month_list	public_html\\sysop\\html\\inc\\course_month_list.html	public_html\\html\\inc\\course_month_list.html	False	True
public_html\classroom\exam_result.jsp	171	classroom.exam_result	public_html\\sysop\\html\\classroom\\exam_result.html	public_html\\html\\classroom\\exam_result.html	False	True
public_html\classroom\exam_apply.jsp	404	classroom.exam_apply	public_html\\sysop\\html\\classroom\\exam_apply.html	public_html\\html\\classroom\\exam_apply.html	False	True
public_html\inc\course_list.jsp	88	inc.course_list	public_html\\sysop\\html\\inc\\course_list.html	public_html\\html\\inc\\course_list.html	False	True
public_html\classroom\exam.jsp	76	classroom.exam	public_html\\sysop\\html\\classroom\\exam.html	public_html\\html\\classroom\\exam.html	False	True
public_html\classroom\cpost_view.jsp	113	classroom.cview	public_html\\sysop\\html\\classroom\\cview.html	public_html\\html\\classroom\\cview.html	False	True
public_html\classroom\cpost_modify.jsp	123	classroom.cwrite	public_html\\sysop\\html\\classroom\\cwrite.html	public_html\\html\\classroom\\cwrite.html	False	True
public_html\classroom\cpost_insert.jsp	162	classroom.cwrite	public_html\\sysop\\html\\classroom\\cwrite.html	public_html\\html\\classroom\\cwrite.html	False	True
public_html\classroom\course_info.jsp	58	classroom.course_info	public_html\\sysop\\html\\classroom\\course_info.html	public_html\\html\\classroom\\course_info.html	False	True
public_html\classroom\comment.jsp	137	classroom.comment	public_html\\sysop\\html\\classroom\\comment.html	public_html\\html\\classroom\\comment.html	False	True
public_html\classroom\attach.jsp	97	classroom.attach	public_html\\sysop\\html\\classroom\\attach.html	public_html\\html\\classroom\\attach.html	False	True
public_html\classroom\alert_survey.jsp	5	classroom.alert_survey	public_html\\sysop\\html\\classroom\\alert_survey.html	public_html\\html\\classroom\\alert_survey.html	False	True
public_html\classroom\viewer_short.jsp	30	classroom.viewer_short	public_html\\sysop\\html\\classroom\\viewer_short.html	public_html\\html\\classroom\\viewer_short.html	False	True
public_html\classroom\index_bak.jsp	57	classroom.index	public_html\\sysop\\html\\classroom\\index.html	public_html\\html\\classroom\\index.html	False	True
public_html\classroom\index.jsp	666	classroom.index	public_html\\sysop\\html\\classroom\\index.html	public_html\\html\\classroom\\index.html	False	True
public_html\classroom\sms_auth.jsp	97	classroom.sms_auth	public_html\\sysop\\html\\classroom\\sms_auth.html	public_html\\html\\classroom\\sms_auth.html	False	True
public_html\classroom\homework_view.jsp	177	classroom.homework_view	public_html\\sysop\\html\\classroom\\homework_view.html	public_html\\html\\classroom\\homework_view.html	False	True
public_html\classroom\review_view.jsp	65	classroom.review_view	public_html\\sysop\\html\\classroom\\review_view.html	public_html\\html\\classroom\\review_view.html	False	True
public_html\classroom\homework_task_view.jsp	144	classroom.homework_task_view	public_html\\sysop\\html\\classroom\\homework_task_view.html	public_html\\html\\classroom\\homework_task_view.html	False	True
public_html\classroom\review_modify.jsp	41	classroom.review_insert	public_html\\sysop\\html\\classroom\\review_insert.html	public_html\\html\\classroom\\review_insert.html	False	True
