# parent_rbcd	rpcd	name
10001	1000001	호텔·여행·항공
10001	1000002	스포츠·여가·레저
10001	1000003	음식료·외식·프랜차이즈
10001	1000004	뷰티·미용
10001	1000005	콜센터·아웃소싱·기타
10001	1000006	정비·A/S·카센터
10001	1000007	렌탈·임대·리스
10001	1000008	서치펌·헤드헌팅
10001	1000009	시설관리·빌딩·경비
10001	1000010	웨딩·상조·이벤트
10002	1000011	은행·금융
10002	1000012	캐피탈·대출
10002	1000013	증권·보험·카드
10003	1000017	부동산·중개·임대
10003	1000018	건축·설비·환경
10003	1000019	건설·시공·토목·조경
10003	1000020	인테리어·자재
10004	1000025	의료(간호·원무·상담 )
10004	1000026	의료(병원분류별 )
10004	1000027	의료(진료과별 )
10004	1000028	제약·보건·바이오
10004	1000029	사회복지·요양
10005	1000030	방송·케이블·프로덕션
10005	1000031	신문·잡지·언론사
10005	1000032	광고·홍보·전시
10005	1000033	영화·음반·배급
10005	1000034	연예·엔터테인 먼트
10005	1000035	출판·인쇄·사진
10006	1000036	문화·공연·예술
10006	1000037	디자인· CAD
10007	1000038	솔루션· SI·CRM·ERP
10007	1000039	웹에이전시
10007	1000040	쇼핑몰·오픈마켓·소셜커머스
10007	1000041	포털·컨텐츠·커뮤니티
10007	1000042	네트워크·통신서비스
10007	1000043	정보보안
10007	1000044	컴퓨터·하드웨어·장비
10007	1000045	게임·애니메이션
10007	1000046	모바일· APP
10007	1000047	IT컨설팅
10008	1000048	공기업·공공기관
10008	1000049	협회·단체
10008	1000050	컨설팅·연구·조사
10008	1000051	회계·세무·법무
10009	1000052	전기·전자·제어
10009	1000053	반도체·디스플레이·광학
10009	1000054	기계·기계설비
10009	1000055	자동차·조선·철강·항공
10009	1000056	금속·재료·자재
10009	1000057	화학·에너지·환경
10009	1000058	섬유·의류·패션
10009	1000059	생활화학·화장품
10009	1000060	생활용품·소비재·기타
10009	1000061	목재·제지·가구
10009	1000062	식품가공
10009	1000063	농축산·어업·임업
10010	1000014	물류·운송·배 송
10010	1000015	무역·상사
10010	1000016	백화점·유통·도소매
10011	1000021	학교(초·중·고·대학·특수 )
10011	1000022	유아·유치원·어린이집
10011	1000023	학원·어학원·교육원
10011	1000024	학습지·방문교육
10026	1000185	경영·비즈니스기획
10026	1000186	웹기획
10026	1000187	마케팅기획
10026	1000188	PL·PM·PO
10026	1000189	컨설턴트
10026	1000190	CEO·COO·CTO
10027	1000191	경영지원
10027	1000192	사무담당자
10027	1000193	총무
10027	1000194	사무보조
10027	1000195	법무담당자
10027	1000196	비서
10027	1000197	변호사
10027	1000198	법무사
10027	1000199	변리사
10027	1000200	노무사
10028	1000201	인사담당자
10028	1000202	HRD·HRM
10028	1000203	노무관리자
10028	1000204	잡매니저
